9166 2
mooc -0.65471232 -1.136102
usefulness -1.0549576 -0.33647883
connections -1.0409868 -0.029954547
linear -1.000118 -0.22308642
able -0.9153735 -0.51422334
random -1.3287452 0.2853018
activities -0.9746961 -0.42752555
splitting -0.9698258 -0.24406861
machine -0.70322061 -1.2452615
accuracy -1.2088038 0.055598363
vehicle -0.95783132 -0.62600666
dropout -0.86080486 -0.56592315
plan -1.081995 -0.31065384
attribute -0.88172531 -0.55542111
displays -0.98290241 -0.46078494
hotel -0.67074382 -1.1711783
google -0.8180992 -0.49858135
pixel -0.93130344 -0.67341369
segmentation -1.0126978 -0.3926661
threads -1.4655893 0.17323138
traditional -0.96289915 -0.33916268
split -1.3039665 0.23036776
height -1.2889645 0.1604816
called -0.94707352 -0.4559226
problems -0.85216218 -0.68248838
collected -0.86043572 -0.55545366
tools -0.76404798 -1.0535064
available -0.72245288 -1.756242
charts -0.91915345 -0.64566141
influence -1.1582537 0.056150969
compute -1.3019404 0.17820434
post -1.0969256 -0.072761245
comparing -1.0202358 -0.257164
effect -1.0906204 -0.047081582
hashtags -1.3183804 0.29987434
agenda -0.79316634 -0.7342543
shi -0.74863994 -2.3908083
contrast -1.1414301 -0.10523435
scheme -1.2560283 0.040796924
depth -1.0369514 -0.26929843
works -0.93828571 -0.45522708
state -0.70142394 -1.3542538
cuts -1.330122 0.32013261
introduced -0.91205722 -0.52406436
embedded -1.1923265 -0.17380108
rate -1.1807975 0.081738621
efficient -0.79854053 -0.70668966
power -1.0108413 -0.26221302
doi -0.81477171 -0.79045546
taxis -1.0465778 -0.47199273
correlated -0.81391704 -0.74046832
contributions -1.0659256 -0.16357197
representing -1.2016757 0.01468609
computed -1.2650375 0.23522052
optimal -1.0600884 -0.23594689
filtering -1.0065827 -0.30184743
potential -0.93188429 -0.42103603
parts -1.1508369 -0.14875117
range -1.0594405 -0.23750921
interval -1.1994723 0.075937532
instructors -0.90327942 -0.48641327
big -0.63684469 -1.4686121
tracking -0.66088742 -1.112427
cause -1.1421639 -0.019547546
stable -1.4976513 0.29920107
observed -1.3118045 0.19149297
cnn -1.2392793 0.16203699
designs -0.92061323 -0.465675
central -1.0320226 -0.96908921
dicon -0.7042172 -0.67030925
huamin -0.67915225 -2.2662337
ne -1.1962072 -0.072463706
modeling -0.7001878 -1.0804187
scores -1.4170624 0.35957065
cases -1.1788583 -0.035167638
weighted -1.1188035 -0.074628443
aggregated -0.98978502 -0.32428709
associated -1.0726703 -0.2666786
importance -0.96865541 -0.28618285
vertical -1.3757393 0.20214625
triangle -1.62319 0.64039493
directions -1.0612067 -0.48070449
integrated -0.95856404 -0.60615122
sun -0.71871489 -2.2496789
interests -0.69704074 -1.440863
convey -0.92158633 -0.52047789
automatically -1.024923 -0.19997673
propose -0.91207051 -0.56775945
consider -0.98692209 -0.34474415
pairs -1.1486478 -0.10867386
leader -1.305451 0.17190298
increase -1.2834258 0.25800166
considered -1.096213 -0.097383976
queries -0.98155159 -0.36453196
identified -1.1573062 -0.021805497
field -0.82120687 -0.5619269
bi -0.95093805 -0.83680785
metro -0.92370057 -0.59700829
detection -0.72318542 -1.0233268
zhang -0.77351141 -2.4104209
comprehensive -0.85648221 -0.74712491
years -0.77552348 -0.75619358
primary -1.0934191 -0.15123913
focused -1.1302303 -0.0065890308
pre -0.95009327 -0.33803532
main -0.80583775 -0.71511525
list -1.0440867 -0.19016373
interface -0.80238014 -1.0286336
radial -1.1470296 -0.24837627
category -0.99720585 -0.33741522
visualiza -0.66718316 -1.2670854
geographical -0.71423507 -1.1050251
helps -0.92983013 -0.33287191
review -0.74004263 -1.069095
suggested -1.0422014 -0.30666253
adjacent -1.5248847 0.41162452
derived -1.0380136 -0.18002637
ordering -1.2245698 0.10616582
linked -1.1884668 -0.20301272
election -1.2713203 0.24937373
whisper -0.57516134 -1.2846332
baseline -1.4949304 0.34281972
bus -0.81120002 -1.088354
textflow -0.64494735 -1.1645145
li -0.67438167 -1.8540612
difference -1.3068092 0.18796737
appear -0.74708426 -0.7191422
contain -0.95216823 -0.34934348
obama -1.4012127 0.63494003
drawing -0.79127711 -1.3082342
create -1.1958199 0.014145765
differences -1.0023955 -0.34856728
ring -0.79020804 -0.66635358
rectangle -1.1967952 0.066102818
log -0.77081609 -0.86344129
track -0.97446269 -0.28966397
river -0.80172503 -0.58055431
popular -0.90974855 -0.46088144
constraints -1.1824695 0.0034758088
experiments -1.1698868 -0.036329754
application -0.7145192 -0.91854525
distortion -1.1904774 -0.14560686
sequences -0.94066179 -0.44600344
hashtag -1.1382153 0.13005611
evoriver -0.56680316 -0.93974727
occurrence -0.93824595 -0.28639582
solve -1.1176517 -0.060935505
perform -1.1555953 -0.093078904
articles -1.023195 -0.11389564
path -0.9281407 -0.38574266
circular -0.93851942 -0.47303987
cation -0.85183537 -0.82713532
interviews -0.95721275 -0.45812652
zhu -0.73958254 -2.3221591
member -0.63734847 -1.9118013
output -1.2411283 0.23079038
streaming -0.85483652 -0.53800231
rich -0.83205867 -0.7455349
story -0.58783972 -1.4878511
branches -1.4338576 0.3902764
close -1.4617331 0.37018275
date -0.82695293 -1.1060561
animation -0.91371077 -0.60275722
survey -0.68171638 -2.0729969
kernel -0.827757 -0.56584555
professor -0.92713153 -0.49583888
e2 -1.4644023 0.45767736
easy -1.0413262 -0.22716931
smooth -1.1510956 -0.064220466
aims -1.1141752 -0.1297152
detected -1.1068742 -0.080779985
complete -0.99343687 -0.31071892
national -0.65342766 -1.2053487
www -0.65661281 -1.9371465
cities -0.7689687 -0.93701357
directional -0.96299076 -0.89677584
trip -0.73341453 -0.93052417
hierarchy -1.107149 -0.18162628
ows -0.99539471 -0.3826527
limited -0.96106315 -0.50228375
collection -0.98619294 -0.46993497
learned -1.2079626 0.088221602
